"study_site","p_years_miss","p_years_pres","no_records","country","no_species","no_genus","p_spec","p_gen","p_cors"
"Belgium_121000053",73.6,26.4,370,"Belgium",1,34,0,54.8648648648649,45.1351351351351
"Belgium_121000059",84.9,15.1,184,"Belgium",1,32,0,62.5,37.5
"Belgium_121000073",79.2,20.8,268,"Belgium",2,37,0.746268656716418,44.4029850746269,54.8507462686567
"Belgium_121000075",84.9,15.1,233,"Belgium",1,37,0,57.5107296137339,42.4892703862661
"Belgium_121000079",84.9,15.1,252,"Belgium",2,44,1.58730158730159,74.6031746031746,23.8095238095238
"Belgium_121000083",84.9,15.1,136,"Belgium",2,23,2.20588235294118,47.0588235294118,50.7352941176471
"Belgium_121000086",84.9,15.1,213,"Belgium",2,42,1.40845070422535,66.1971830985916,32.3943661971831
"Belgium_121000087",84.9,15.1,174,"Belgium",2,32,0.574712643678161,59.7701149425287,39.6551724137931
"Belgium_121000094",84.9,15.1,201,"Belgium",1,15,0,31.3432835820896,68.6567164179104
"Belgium_121000096",83,17,200,"Belgium",1,20,0,38,62
"Belgium_121000103",84.9,15.1,132,"Belgium",1,31,0,60.6060606060606,39.3939393939394
"Belgium_121000108",84.9,15.1,143,"Belgium",1,23,0,44.0559440559441,55.9440559440559
"Belgium_121000141",79.2,20.8,284,"Belgium",1,45,0,67.9577464788732,32.0422535211268
"Belgium_121000142",79.2,20.8,215,"Belgium",1,39,0,55.3488372093023,44.6511627906977
"Belgium_121000147",81.1,18.9,184,"Belgium",1,30,0,61.9565217391304,38.0434782608696
"Belgium_121000151",83,17,193,"Belgium",1,25,0,52.8497409326425,47.1502590673575
"Belgium_121000153",84.9,15.1,175,"Belgium",1,29,0,57.1428571428571,42.8571428571429
"Belgium_121000154",84.9,15.1,170,"Belgium",1,29,0,40.5882352941176,59.4117647058824
"Belgium_121000158",84.9,15.1,184,"Belgium",2,43,0.543478260869565,65.7608695652174,33.695652173913
"Belgium_121000160",83,17,243,"Belgium",1,43,0,65.4320987654321,34.5679012345679
"Belgium_121000161",75.5,24.5,316,"Belgium",1,34,0,53.7974683544304,46.2025316455696
"Belgium_121000162",79.2,20.8,256,"Belgium",1,32,0,59.765625,40.234375
"Belgium_121000165",83,17,291,"Belgium",2,47,1.3745704467354,67.6975945017182,30.9278350515464
"Belgium_121000167",84.9,15.1,154,"Belgium",1,23,0,61.038961038961,38.961038961039
"Belgium_121000168",77.4,22.6,241,"Belgium",1,31,0,61.8257261410788,38.1742738589212
"Belgium_121000174",81.1,18.9,303,"Belgium",2,47,0.66006600660066,67.6567656765677,31.6831683168317
"Belgium_121000178",84.9,15.1,227,"Belgium",2,42,0.881057268722467,76.6519823788546,22.4669603524229
"Belgium_121000183",79.2,20.8,200,"Belgium",2,30,0.5,72.5,27
"Belgium_121000189",77.4,22.6,211,"Belgium",1,33,0,54.0284360189574,45.9715639810426
"Belgium_121000190",83,17,182,"Belgium",1,25,0,56.043956043956,43.956043956044
"Belgium_121000191",75.5,24.5,380,"Belgium",1,41,0,53.6842105263158,46.3157894736842
"Belgium_121000192",81.1,18.9,256,"Belgium",2,39,1.5625,68.75,29.6875
"Belgium_121000193",84.9,15.1,167,"Belgium",2,33,1.79640718562874,55.688622754491,42.5149700598802
"Belgium_121000196",84.9,15.1,142,"Belgium",2,24,1.40845070422535,52.8169014084507,45.7746478873239
"Belgium_121000197",84.9,15.1,139,"Belgium",2,27,2.15827338129496,50.3597122302158,47.4820143884892
"Belgium_121000198",79.2,20.8,149,"Belgium",1,17,0,73.1543624161074,26.8456375838926
"Belgium_121000202",83,17,183,"Belgium",1,35,0,73.224043715847,26.775956284153
"Belgium_121000204",83,17,182,"Belgium",1,35,0,64.2857142857143,35.7142857142857
"Belgium_121000206",84.9,15.1,152,"Belgium",2,32,1.97368421052632,67.1052631578947,30.9210526315789
"Belgium_121000213",73.6,26.4,327,"Belgium",1,43,0,60.5504587155963,39.4495412844037
"Belgium_121000214",79.2,20.8,237,"Belgium",1,34,0,59.0717299578059,40.9282700421941
"Belgium_121000215",77.4,22.6,305,"Belgium",1,39,0,57.7049180327869,42.2950819672131
"Belgium_121000216",79.2,20.8,289,"Belgium",2,42,0.346020761245675,61.5916955017301,38.0622837370242
"Belgium_121000217",81.1,18.9,185,"Belgium",1,28,0,43.7837837837838,56.2162162162162
"Belgium_121000218",71.7,28.3,412,"Belgium",2,40,0.242718446601942,51.6990291262136,48.0582524271845
"Belgium_121000219",77.4,22.6,365,"Belgium",1,39,0,53.6986301369863,46.3013698630137
"Belgium_121000221",83,17,290,"Belgium",1,43,0,60,40
