"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Cybister lateralimarginalis",6,1,90.6,9.4,5
"Cymatia bonsdorffii",6,3,90.6,9.4,5
"Cymatia coleoptrata",38,4,62.3,37.7,20
"Cymatia rogenhoferi",3,1,94.3,5.7,3
"Cymbiodyta marginella",34,4,67.9,32.1,17
"Cyrnus crenaticornis",13,2,84.9,15.1,8
"Cyrnus flavidus",170,7,35.8,64.2,34
"Cyrnus insolutus",6,2,88.7,11.3,6
"Cyrnus trimaculatus",427,13,26.4,73.6,39
"Dacnogenia coerulans",8,2,86.8,13.2,7
"Demeijerea rufipes",1,1,98.1,1.9,1
"Demicryptochironomus vulneratus",79,5,50.9,49.1,26
"Dendrobaena octaedra",1,1,98.1,1.9,1
"Dendrocoelum lacteum",1323,10,15.1,84.9,45
"Dendrocoelum romanodanubiale",24,2,79.2,20.8,11
"Dero digitata",60,3,58.5,41.5,22
"Dero dorsalis",2,1,96.2,3.8,2
"Dero obtusa",11,2,86.8,13.2,7
"Deronectes latus",77,7,45.3,54.7,29
"Deronectes platynotus",2,1,96.2,3.8,2
"Diamesa cinerella",5,1,90.6,9.4,5
"Diamesa hamaticornis",1,1,98.1,1.9,1
"Diamesa insignipes",628,3,47.2,52.8,28
"Diamesa permacra",28,1,67.9,32.1,17
"Dicranophragma nemorale",5,1,90.6,9.4,5
"Dicranota simulans",1,1,98.1,1.9,1
"Dicrotendipes lobiger",5,1,90.6,9.4,5
"Dicrotendipes modestus",1,1,98.1,1.9,1
"Dicrotendipes nervosus",284,4,26.4,73.6,39
"Dicrotendipes notatus",67,1,35.8,64.2,34
"Dicrotendipes tritomus",3,2,94.3,5.7,3
"Dikerogammarus haemobaphes",193,5,71.7,28.3,15
"Dikerogammarus villosus",776,6,50.9,49.1,26
"Dina lineata",92,8,45.3,54.7,29
"Dina punctata",29,4,73.6,26.4,14
"Dinocras cephalotes",136,7,52.8,47.2,25
"Dinocras megacephala",3,1,94.3,5.7,3
"Diplectrona felix",37,3,71.7,28.3,15
