"name","nsite1","nsite2","trend","p.value","std.error","MCP1","taxonKey","MCP2","order","family","perc_range_coverage"
"Caenis macrura",7,66,-0.0284616298598827,0.00485715654690286,0.00994930228730464,3622758990252.04,5757633,4690220781548.59,"Ephemeroptera","Caenidae",77.24
"Caenis pseudorivulorum",3,30,-0.0265115095421032,0.00737007656703089,0.00957823653701755,762072906544.376,5757634,1813490224420.75,"Ephemeroptera","Caenidae",42.02
"Caenis rivulorum",43,221,0.0207197651218596,8.80002476879235e-05,0.00526145713792872,4197650964709.52,6932828,16683381859066.5,"Ephemeroptera","Caenidae",25.16
"Caenis robusta",7,84,0.0116437014009951,0.153947249215254,0.0081247284280588,1389851322394.6,5757635,4568037266392.67,"Ephemeroptera","Caenidae",30.43
"Callicorixa praeusta",21,62,0.000316771764894159,0.852157504574432,0.00169877294584667,1006071874525.39,2049804,7049429994948.65,"Hemiptera","Corixidae",14.27
"Calopteryx splendens",53,371,0.0120515854312099,2.92558876706756e-07,0.00233667163727156,3341362954711.66,1427067,23352923227008.9,"Odonata","Calopterygidae",14.31
"Calopteryx virgo",50,211,-0.00268014243866105,0.358271379519353,0.00291627374570423,3284992047135.63,1427037,37332447668740.8,"Odonata","Calopterygidae",8.8
"Cataclysta lemnata",39,119,0.0088672455178424,4.73419350385744e-09,0.00149895366025869,1336709677119.34,1872368,16058242195718.3,"Lepidoptera","Crambidae",8.32
"Centroptilum luteolum",74,405,0.00526231446544767,0.0327911074725402,0.00246311380579986,4870182727766.83,4481189,6245398253582.17,"Ephemeroptera","Baetidae",77.98
"Ceraclea albimacula",2,11,0.00537424275447568,0.441654981039948,0.0069188201439158,759396270017.19,1436064,18182980112158.6,"Trichoptera","Leptoceridae",4.18
"Ceraclea annulicornis",5,43,0.00351017423347472,0.319787527140264,0.00351251661239164,1557580999887.25,1435915,4266544456203.38,"Trichoptera","Leptoceridae",36.51
"Ceraclea dissimilis",5,143,0.00045127217671396,0.955657539746235,0.00809651009693688,2324218605943.15,1435909,5416611258082.85,"Trichoptera","Leptoceridae",42.91
"Ceraclea fulva",1,5,0.00811338435433249,0.2717525217731,0.00718823098880011,348505836041.284,1435958,6319015173495.13,"Trichoptera","Leptoceridae",5.52
"Ceraclea nigronervosa",2,23,-0.00772093294227413,0.22241427826218,0.00624415590578601,1029956854421.48,1436005,12104932655793.7,"Trichoptera","Leptoceridae",8.51
"Ceraclea senilis",1,12,0.00110931850211871,0.839810820996698,0.00542879008799008,264508102910.434,1436003,5228648975472.6,"Trichoptera","Leptoceridae",5.06
"Ceratopsyche silfvenii",4,33,-0.0111796339785852,0.0779933538448892,0.00626752319832371,645476908731.484,1439423,1835574511401,"Trichoptera","Hydropsychidae",35.16
"Cercyon tristis",1,2,0.00207165713305987,0.597229618426657,0.00386635741439572,NA,1034425,5387800044251.09,"Coleoptera","Hydrophilidae",NA
"Chaetarthria seminulum",3,8,-0.000545013529810959,0.826102226187419,0.00247084656664197,516641798806.907,4434131,6661291566482.13,"Coleoptera","Hydrophilidae",7.76
"Chaetogaster diastrophus",1,1,0.0234380740950146,0.270931292212482,0.0206354630357368,NA,5194015,16858468419041.8,"Tubificida","Naididae",NA
"Chaetopteryx villosa",56,224,-0.000582631967818138,0.731805848214387,0.00169962719485322,1376838442350.74,1442307,7576444930562.06,"Trichoptera","Limnephilidae",18.17
"Chalcolestes viridis",3,28,-0.0175992073628246,0.316786270324769,0.0174447782727133,931186605884.462,5865098,6953322596679.39,"Odonata","Lestidae",13.39
"Chaoborus crystallinus",4,10,-0.00260914982517401,0.359612007356524,0.00283304033155217,103914414515.216,1679430,4210697603204.11,"Diptera","Chaoboridae",2.47
"Chaoborus flavicans",15,36,0.00306891526943199,0.196119340951538,0.00236935472955567,377358805612.142,1679392,34813791173312.6,"Diptera","Chaoboridae",1.08
"Chelicorophium robustum",2,34,0.0903118257641654,0.00222120808358082,0.0274717224385765,533551729207.419,6460946,1615065378900.42,"Amphipoda","Corophiidae",33.04
"Chelicorophium sowinskyi",2,13,0.0423257584613322,0.0554016433916446,0.0213973148669534,179146952846.912,8439213,615184045542.435,"Amphipoda","Corophiidae",29.12
"Cheumatopsyche lepida",4,79,-0.000661135736327523,0.951955200870228,0.0109401778054972,4662914439401,1439839,8600638640399.88,"Trichoptera","Hydropsychidae",54.22
"Chimarra marginata",6,29,-0.0451657206182283,0.0221277587302745,0.0195237321812036,2180618041081.18,1431348,6328711939728.6,"Trichoptera","Philopotamidae",34.46
"Chironomus obtusidens",1,3,0.00576971172341281,0.661414065356042,0.0129878586615521,4608250966.22743,1448330,426865976915.767,"Diptera","Chironomidae",1.08
"Chironomus plumosus",48,100,-0.0421160149160379,1.18590570101319e-11,0.00614500333009549,2056944637421.67,1448391,49685291204124.3,"Diptera","Chironomidae",4.14
"Chironomus riparius",44,149,-0.00399365584310434,0.491845818366387,0.00580789685177076,2341241196454.3,1448237,81808726302602.3,"Diptera","Chironomidae",2.86
"Choroterpes picteti",6,8,-0.0310501395641497,0.00606410120585022,0.0111515488296597,408667756744.801,4481210,1694237588044.16,"Ephemeroptera","Leptophlebiidae",24.12
"Cladopelma goetghebueri",1,10,-0.0136034057772681,0.690066419850207,0.0335675566728428,663242422.80812,1450736,110594705724.751,"Diptera","Chironomidae",0.6
"Cladotanytarsus vanderwulpi",1,5,0.00702161221922813,0.845317472474265,0.0355865168347505,1309663140.03255,1453097,2644786500529.36,"Diptera","Chironomidae",0.05
"Clinocera stagnalis",3,3,-0.00748563736450994,0.0115006875674113,0.00288183462849796,2260762862.06854,1582902,5422708414095.32,"Diptera","Empididae",0.04
"Clinotanypus nervosus",18,63,0.0142555831753885,0.000474036565848872,0.00404500407682188,592243753254.179,1452346,4490183915705.02,"Diptera","Chironomidae",13.19
"Cloeon dipterum",33,222,-0.0263885791895249,1.87295625926734e-08,0.00464132300140488,2921564092266.22,1407879,123068838191966,"Ephemeroptera","Baetidae",2.37
"Cloeon inscriptum",20,40,0.00844384937813527,0.0467567599933002,0.0042343410407443,352674581035.048,1407886,2164542145741.07,"Ephemeroptera","Baetidae",16.29
